         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.53787     0.320226     0.358905      0.00000
      8.54054     0.325482     0.306315      0.00000
      8.54321     0.330386     0.327805      0.00000
      8.54588     0.328868     0.359498      0.00000
      8.54855     0.318393     0.343693      0.00000
      8.55122     0.311625     0.379652      0.00000
      8.55389     0.321957     0.509121      0.00000
      8.55657     0.337154     0.388473      0.00000
      8.55924     0.345891     0.398035      0.00000
      8.56192     0.349322     0.509361      0.00000
      8.56459     0.349261     0.418988      0.00000
      8.56727     0.343079     0.421112      0.00000
      8.56995     0.334841     0.422297      0.00000
      8.57263     0.334414     0.402219      0.00000
      8.57530     0.341601     0.468393      0.00000
      8.57798     0.343069     0.458241      0.00000
      8.58067     0.331005     0.428203      0.00000
      8.58335     0.324934     0.436344      0.00000
      8.58603     0.328344     0.390063      0.00000
      8.58871     0.345652     0.468909      0.00000
      8.59140     0.369713     0.486785      0.00000
      8.59408     0.380616     0.381352      0.00000
      8.59677     0.388350     0.369074      0.00000
      8.59946     0.385326     0.258940      0.00000
      8.60214     0.382886     0.422090      0.00000
      8.60483     0.371149     0.485145      0.00000
      8.60752     0.355757     0.391226      0.00000
      8.61021     0.356150     0.391060      0.00000
      8.61290     0.376515     0.442759      0.00000
      8.61560     0.386589     0.498377      0.00000
      8.61829     0.381327     0.565269      0.00000
      8.62098     0.369356     0.562592      0.00000
      8.62368     0.361805     0.489220      0.00000
      8.62637     0.348934     0.512350      0.00000
      8.62907     0.346389     0.531435      0.00000
      8.63177     0.352305     0.479948      0.00000
      8.63446     0.365178     0.447050      0.00000
      8.63716     0.374402     0.461279      0.00000
      8.63986     0.382586     0.448766      0.00000
      8.64256     0.385357     0.434925      0.00000
      8.64526     0.373907     0.424393      0.00000
      8.64797     0.364248     0.440387      0.00000
      8.65067     0.366645     0.383306      0.00000
      8.65337     0.371425     0.264018      0.00000
      8.65608     0.369320     0.267400      0.00000
      8.65878     0.368075     0.350389      0.00000
      8.66149     0.364251     0.323762      0.00000
      8.66420     0.352340     0.294990      0.00000
      8.66690     0.334492     0.517884      0.00000
      8.66961     0.320821     0.530060      0.00000
      8.67232     0.316869     0.447014      0.00000
      8.67503     0.314068     0.492465      0.00000
      8.67774     0.303458     0.433360      0.00000
      8.68046     0.293527     0.484841      0.00000
      8.68317     0.278308     0.544172      0.00000
      8.68588     0.272842     0.439058      0.00000
      8.68860     0.267430     0.348300      0.00000
      8.69131     0.269175     0.391762      0.00000
      8.69403     0.259222     0.451470      0.00000
      8.69675     0.255235     0.397719      0.00000
